"LETO","DVOMESEÈJE","GLAVNO PREVOZNO SREDSTVO","Avstrija","Italija","Nemèija","Druge evropske države","Neevropske države"
"2019","April, maj","Avto, kombi (lasten ali najet)",41668,57022,17657,81801,-
"2019","April, maj","Avtodom (lasten ali najet)",-,N,N,N,-
"2019","April, maj","Avtobus",5353,3921,8858,16431,-
"2019","April, maj","Motorno kolo",1169,2995,N,N,-
"2019","April, maj","Kolo",-,N,N,N,-
"2019","April, maj","Letalo",3282,1391,6224,58278,122883
"2019","April, maj","Vlak",N,N,N,2274,-
"2019","April, maj","Ladja",-,-,-,-,-
"2019","April, maj","Drugo",-,-,-,-,-
"2019","Julij, avgust","Avto, kombi (lasten ali najet)",46792,79084,86885,318441,N
"2019","Julij, avgust","Avtodom (lasten ali najet)",4931,6363,33108,35752,-
"2019","Julij, avgust","Avtobus",2863,5326,3560,10682,-
"2019","Julij, avgust","Motorno kolo",2219,4567,3997,6765,-
"2019","Julij, avgust","Kolo",N,N,N,6700,-
"2019","Julij, avgust","Letalo",N,1037,8148,77437,120722
"2019","Julij, avgust","Vlak",993,N,5775,4198,-
"2019","Julij, avgust","Ladja",-,N,-,-,-
"2019","Julij, avgust","Drugo",-,-,N,N,-
"2019","September, oktober","Avto, kombi (lasten ali najet)",42186,46582,30108,95273,-
"2019","September, oktober","Avtodom (lasten ali najet)",N,N,N,-,-
"2019","September, oktober","Avtobus",4821,1283,9811,20539,-
"2019","September, oktober","Motorno kolo",2906,1332,3165,2800,-
"2019","September, oktober","Kolo",N,-,N,-,-
"2019","September, oktober","Letalo",-,1279,3908,50473,134222
"2019","September, oktober","Vlak",-,N,814,1367,-
"2019","September, oktober","Ladja",-,-,-,-,-
"2019","September, oktober","Drugo",N,-,-,-,-
"2019","December, januar","Avto, kombi (lasten ali najet)",29264,63941,6746,88014,-
"2019","December, januar","Avtodom (lasten ali najet)",N,N,-,666,-
"2019","December, januar","Avtobus",4321,3788,2147,5347,-
"2019","December, januar","Motorno kolo",-,-,N,N,-
"2019","December, januar","Kolo",-,-,-,-,-
"2019","December, januar","Letalo",N,2349,1630,25067,33020
"2019","December, januar","Vlak",N,1296,N,N,-
"2019","December, januar","Ladja",-,-,-,-,-
"2019","December, januar","Drugo",-,-,-,-,-
